Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
63,12/2/2021,4:42:37, ,102,44.19,53.38,0.16,0.115,0.111,1.363,-0.634,654.7,0.012,0.034,0.069,1.865,56.17,72.47,73.33,25.77,0.087,31.88,23.69,31.86,0.012,2.682,0.043,8.7,0.285,13.23,13.77,16.44,-0.001,0.031,5.173,6.043,6.049,0.038,1.159,2.283,-0.041,2.56,2.947
64,12/2/2021,4:45:17, ,103,79.57,102.8,0.132,25.24,29.52,29.51,-0.554,576.3,0.018,0.063,0.072,2.333,61.32,80.01,81.08,41.37,0.103,33.35,13.57,16.54,0.011,70.86,0.052,5.522,0.348,23.96,24.35,29.34,-0.003,0.02,6.474,7.456,7.48,0.033,1.572,2.612,-0.025,25.22,30.59
65,12/2/2021,4:48:00, ,104,25.87,29.93,0.459,0.116,0.13,0.032,-0.031,31.66,0.077,0.085,0.182,4.907,27.71,30.2,30.17,0.099,0.001,14.83,4.842,5.127,0.001,0.119,0.168,3.946,0.855,10.81,10.87,13.24,0,0.095,0.018,0.024,0.016,-0.003,0.003,0.003,-0.01,4.376,4.681
66,12/2/2021,4:50:28, ,105,57.85,72.73,0.035,27.63,32.74,32.57,-0.469,485.3,0.009,0.051,0.051,1.21,41.6,50.59,50.89,39.58,0.072,23.67,7.629,8.813,0.008,75.6,0.035,4.4,0.194,11.59,12.05,14.39,0,0.013,6.11,7.113,7.148,0.026,1.392,1.879,-0.018,26.89,31.92
67,12/2/2021,4:53:06, ,106,52.87,64.9,0.025,25,28.99,29.77,-0.466,482.2,0.007,0.047,0.048,1.043,40.44,46.8,48.79,35.89,0.068,23.16,6.909,7.911,0.006,67.69,0.032,4.558,0.179,9.799,10.63,12.51,0,0.008,5.997,6.782,6.916,0.026,1.343,1.881,-0.015,24.47,29.02
68,12/2/2021,4:55:44, ,107,47.25,57.53,0.01,27.96,32.53,33.06,-0.383,396.7,0.005,0.046,0.044,0.763,34.07,40.25,40.49,37.49,0.058,19.73,4.418,5.016,0.005,74.17,0.026,3.417,0.126,7.375,7.448,8.702,-0.001,0.009,5.25,6.065,6.107,0.019,1.249,1.646,-0.012,26.84,31.88
69,12/2/2021,4:58:22, ,108,100,132.4,0.114,24.75,28.94,29.22,-0.978,1012,0.017,0.067,0.099,2.341,79.67,111.2,113.6,49.3,0.148,52.34,10.66,12.87,0.013,70.65,0.065,8.739,0.336,21.16,21.99,26.5,-0.007,0.014,6.463,7.59,7.628,0.06,2.457,4.016,-0.026,25.18,30.33
70,12/2/2021,5:01:06, ,109,69.4,88.99,0.103,0.518,0.636,2.152,-1.471,1507,0.019,0.043,0.079,1.925,69.15,96.27,97.86,85.1,0.162,57.16,26.1,36.87,0.025,7.596,0.047,20.15,0.277,73.94,77.92,97.31,0.009,0.053,3.231,3.778,3.751,0.087,2.895,2.46,-0.055,3.762,4.55
70 dup,12/2/2021,5:03:33, ,110,71.82,89.68,0.11,0.479,0.588,2.152,-1.511,1549,0.02,0.044,0.082,1.957,70.98,98.07,99.74,85.61,0.166,57.81,26.63,37.48,0.026,7.516,0.05,20.14,0.284,72.96,78.28,99.62,0.007,0.057,3.435,4.063,4.005,0.09,2.886,2.525,-0.056,3.768,4.653
7 spike,12/2/2021,5:06:04, ,111,73.48,93.04,0.567,0.781,0.904,1.331,-0.563,581.2,0.086,0.097,0.203,6.504,68.71,90.3,91.79,144,0.083,46.86,25.7,34.5,0.012,3.498,0.164,16.19,0.923,112.8,118.9,148.2,0.001,0.121,5.477,6.286,6.288,0.03,1.293,1.978,-0.044,6.677,7.689
Lblank,12/2/2021,5:08:28, ,112,0.125,0.152,0.002,0.038,0.038,0.005,-0.001,1.162,0,0,0,0.008,0.14,0.169,0.169,0.252,0,0.081,0.049,0.06,0,0.04,0,0.03,0.002,0.229,0.222,0.29,-0.001,0.001,0.016,0.019,0.018,-0.001,0.002,0.003,0,0.017,0.019
CV,12/2/2021,5:10:47, ,113,2.089,2.042,2.044,2.056,2.1,2.083,2.083,2.291,1.789,2.017,1.942,1.994,2.075,2.066,2.049,2.394,2.068,1.967,2.05,2.073,2.131,2.452,2.014,1.902,2.012,0.134,0.103,0.171,2.066,2.038,8.898,8.909,9.001,1.874,1.746,2.078,1.961,1.959,2.005
S IPC,12/2/2021,5:13:19, ,114,0.013,0.012,-0.002,0.03,0.032,0.003,0.001,0.125,0.001,0.001,0.001,0.001,0.016,0.016,0.015,0.057,0.001,0.008,0.005,0.006,0.002,0.031,-0.002,-0.016,-0.01,25.64,26.23,26.84,0.001,0.002,0.014,0.019,0.021,0.001,0.001,0.001,0,0.004,0.006
71,12/2/2021,5:15:54, ,115,52.93,65.33,-0.007,32.44,37.52,36.82,-0.666,685.2,0.007,0.051,0.044,0.902,34.08,40.59,40.59,40.31,0.068,22.45,4.875,5.497,0.008,85.29,0.029,3.392,0.153,8.362,9.317,11.09,0.001,0.012,5.574,6.273,6.516,0.037,1.807,1.639,-0.018,30.04,36.21
72,12/2/2021,5:18:30, ,116,,305.2,0.309,-0.185,-0.06,0.939,-0.05,114,0.005,0.106,0.384,0.399,163.4,310.1,331.4,21.48,0.461,110.9,5.993,6.823,0.094,6.641,0.348,9.618,0.425,4.576,4.904,6.024,-0.042,-0.07,7.54,8.585,8.714,0.024,1.111,12.15,-0.008,1.569,1.792
73,12/2/2021,5:21:12, ,117,46.34,57.56,-0.003,25.9,30.4,30.18,-0.605,621.4,0.007,0.044,0.039,0.848,30.49,36.82,36.76,36.67,0.064,20.3,5.288,6.138,0.007,70.64,0.027,3.617,0.14,9.533,10.45,12.49,0.002,0.011,4.871,5.563,5.745,0.032,1.551,1.402,-0.016,24.22,29.44
74,12/2/2021,5:23:50, ,118,91.15,119.5,0.071,27.08,32.12,31.12,-1.193,1228,0.015,0.061,0.082,1.975,65.57,89.06,90.46,49.5,0.138,46.53,10.77,13.22,0.015,77.96,0.057,7.654,0.321,19.34,21.1,25.59,0,0.021,6.625,7.618,7.671,0.072,2.698,3.242,-0.028,26.23,32.16
75,12/2/2021,5:26:35, ,119,91.03,119.6,0.059,26.08,30.62,29.55,-1.691,1734,0.017,0.059,0.074,2.056,62.12,84.2,85.47,51.9,0.153,52.55,13.48,17.21,0.02,76.02,0.051,9.266,0.308,26.57,28.09,34.09,0.006,0.034,6.249,7.291,7.286,0.102,3.718,3.059,-0.04,24.74,30.22
76,12/2/2021,5:29:20, ,120,42.37,51.97,-0.02,31.52,37.32,35.94,-0.558,572.3,0.005,0.045,0.032,0.656,22.43,26.63,26.54,38.98,0.052,16.54,4.302,4.951,0.006,81.06,0.023,2.99,0.107,8.686,9.619,11.53,0.002,0.015,4.814,5.527,5.599,0.029,1.497,1.035,-0.015,29.07,36.38
77,12/2/2021,5:31:56, ,121,86.87,116.1,0.228,0.233,0.289,2.102,-1.248,1287,0.018,0.046,0.096,2.331,84.03,119.4,122.1,52.31,0.159,56.08,17.38,22.2,0.021,5.237,0.069,10.5,0.381,40.76,42.63,53.26,-0.001,0.026,5.555,6.419,6.402,0.078,2.402,3.743,-0.04,4.943,5.833
78,12/2/2021,5:34:27, ,122,59.32,73.01,0.099,0.264,0.299,1.664,-0.955,982.9,0.018,0.043,0.066,1.838,57.29,74.93,75.78,40.38,0.112,39.65,19.2,24.54,0.016,3.689,0.056,8.16,0.256,33.96,35.89,44.33,-0.001,0.036,5.004,5.813,5.823,0.057,1.767,2.513,-0.038,4.964,5.862
79,12/2/2021,5:36:54, ,123,55.23,67.92,0.042,0.098,0.118,1.767,-1.224,1255,0.012,0.028,0.058,1.243,55.77,72.31,73,28.13,0.117,40.25,11.11,13.54,0.016,7.754,0.045,7.393,0.217,26.25,28.15,34.28,0.001,0.029,4.798,5.57,5.57,0.073,2.216,2.464,-0.029,2.926,3.422
80,12/2/2021,5:39:37, ,124,63.97,80.72,0.074,0.076,0.08,1.717,-1.181,1213,0.012,0.029,0.065,1.521,60.47,79.57,80.6,36.68,0.121,43.23,12.7,15.78,0.018,3.629,0.044,8.397,0.249,29.57,31.1,37.73,0.003,0.028,5.267,6.01,6.018,0.07,2.203,2.614,-0.032,3.267,3.752
80 dup,12/2/2021,5:42:05, ,125,63.46,79.23,0.078,0.073,0.074,1.712,-1.18,1212,0.012,0.029,0.065,1.515,60.54,79.2,80.18,35.88,0.119,42.49,12.87,15.63,0.017,3.526,0.045,8.288,0.249,29.27,31.11,37.51,0.001,0.024,5.506,6.229,6.23,0.072,2.173,2.615,-0.031,3.26,3.778
9 spike,12/2/2021,5:44:33, ,126,104.6,141.4,0.583,0.356,0.419,2.123,-1.15,1186,0.09,0.106,0.224,7.051,92.87,134,137.7,88.24,0.149,67.42,28.86,40.33,0.018,3.909,0.184,16.49,0.993,75.69,79.78,101,-0.001,0.114,7.061,8.691,8.653,0.07,2.467,3.63,-0.055,7.423,8.81
Lblank,12/2/2021,5:47:00, ,127,0.107,0.116,-0.001,0.023,0.024,0.003,-0.001,1.448,0,0,0,0.005,0.126,0.138,0.137,0.102,0,0.06,0.031,0.035,0,0.027,0,0.012,0.001,0.099,0.092,0.158,-0.001,0,0.013,0.017,0.018,0,0.003,0.004,-0.001,0.012,0.014
CV,12/2/2021,5:49:19, ,128,2.091,2.023,2.067,2.059,2.064,2.109,2.113,2.382,1.811,2.047,1.973,2.015,2.125,2.074,2.056,2.349,2.023,1.962,2.061,2.066,2.149,2.414,2.041,1.915,2.028,0.146,0.097,0.158,2.07,2.047,8.747,8.89,9.051,1.891,1.777,2.093,1.949,2.034,2.035
S IPC,12/2/2021,5:51:52, ,129,0.017,0.015,0,0.02,0.021,0.002,0.001,0.178,0.001,0.001,0,0.002,0.021,0.019,0.019,0.047,0.001,0.008,0.006,0.005,0.002,0.023,-0.002,-0.018,-0.01,25.51,26,26.76,0.001,0.002,0.015,0.02,0.017,0.001,0.001,0.002,0.001,0.004,0.005
81,12/2/2021,5:54:28, ,130,61.19,75.94,0.066,0.127,0.147,1.753,-1.253,1286,0.016,0.029,0.056,1.564,56.9,74,74.68,49.98,0.124,41.15,14.8,18.3,0.019,2.967,0.041,8.732,0.258,40.83,42.52,52.66,0.006,0.028,5.112,5.866,5.864,0.075,2.2,2.357,-0.036,3.441,4.027
82,12/2/2021,5:56:56, ,131,101.2,134.9,0.36,23.72,27.9,26.94,-1.353,1397,0.031,0.07,0.104,4.592,84.02,127.5,130.9,52.34,0.167,48.31,25.64,36.19,0.025,68.86,0.071,8.892,0.596,24.57,27.5,33.38,-0.003,0.023,4.905,5.681,5.659,0.09,2.246,4.976,-0.051,24.01,30.37
83,12/2/2021,5:59:42, ,132,57.45,70.77,0.158,27.35,31.28,31.63,-0.543,562.4,0.012,0.052,0.056,2.253,48.94,60.08,60.61,39.21,0.077,21.8,14.22,16.99,0.011,72.28,0.034,4.014,0.3,13.01,13.37,16.01,-0.001,0.017,5.74,6.576,6.638,0.032,1.177,2.456,-0.027,26.08,31.18
84,12/2/2021,6:02:25, ,133,48.48,58.04,0.084,27.4,31.56,31.76,-0.438,453.2,0.008,0.046,0.044,1.657,37.9,44.9,45.22,37.12,0.062,17.56,7.659,8.876,0.008,72.18,0.027,2.396,0.222,7.921,8.823,10.44,-0.002,0.009,4.972,5.667,5.769,0.026,1.059,2.016,-0.017,25.92,31.49
85,12/2/2021,6:05:04, ,134,41.64,49.97,0.071,28.67,32.89,33.75,-0.447,460.7,0.008,0.047,0.039,1.341,30.83,36.69,36.64,35.73,0.053,14.41,11.14,12.66,0.008,74.25,0.023,2.68,0.181,9.789,10.36,12.33,0,0.016,4.642,5.29,5.346,0.024,1.045,1.492,-0.023,27.56,33.42
86,12/2/2021,6:07:44, ,135,31.33,36.9,0.011,30.68,36.08,35.9,-0.201,207.9,0.003,0.042,0.025,0.628,15.38,17.54,17.49,34.26,0.03,7.977,6.205,7.044,0.003,79.12,0.013,1.812,0.09,4.836,5.025,5.938,0.001,0.004,4.435,5.02,5.119,0.008,0.829,0.795,-0.013,28.55,35.04
87,12/2/2021,6:10:21, ,136,29.85,35.39,-0.022,32.45,37.45,37.57,-0.367,375,0.004,0.043,0.023,0.446,10.16,11.39,11.31,35.52,0.03,8.218,6.569,7.509,0.004,81.99,0.014,1.779,0.056,4.836,5.034,5.876,0.005,0.01,3.943,4.446,4.537,0.017,1.141,0.442,-0.016,29.79,35.79
88,12/2/2021,6:13:00, ,137,30.35,35.24,-0.016,32.79,38.32,38.49,-0.242,248.1,0.003,0.042,0.024,0.364,10.2,11.41,11.31,34.23,0.025,6.991,6.982,7.902,0.004,83.57,0.012,1.9,0.053,3.942,4.166,4.891,0.004,0.005,4.275,4.821,4.976,0.01,0.954,0.452,-0.013,30.56,37.08
88 dup,12/2/2021,6:15:39, ,138,29.9,34.91,-0.018,32.62,37.95,38.49,-0.24,245.5,0.003,0.043,0.024,0.36,10.23,11.39,11.33,35.2,0.026,6.987,6.964,7.898,0.004,83.15,0.011,1.939,0.056,4.075,4.179,4.966,0.003,0.004,4.619,5.225,5.345,0.01,0.941,0.456,-0.016,30.87,36.93
10 spike,12/2/2021,6:18:16, ,139,99.98,129.2,0.627,0.562,0.667,1.872,-0.705,732.4,0.089,0.113,0.235,7.287,94.87,138.5,142.2,92.58,0.125,60.05,20,25.8,0.015,4.182,0.195,16.58,1.001,83.65,88.24,111,-0.004,0.101,7.015,8.315,8.36,0.042,1.658,3.442,-0.037,7.839,9.053
Lblank,12/2/2021,6:20:41, ,140,0.059,0.079,0,0.095,0.101,0.016,-0.001,0.541,0,0,0,0.003,0.07,0.092,0.091,0.13,0,0.035,0.013,0.017,0,0.077,-0.001,0.004,0,0.064,0.058,0.15,0.001,-0.001,0.01,0.016,0.013,-0.001,0.001,0.002,0,0.023,0.026
CV,12/2/2021,6:23:14, ,141,2.056,2.01,2.053,2.096,2.118,2.109,2.082,2.161,1.806,2.047,1.975,1.989,2.096,2.048,2.032,2.396,2.016,1.943,2.041,2.05,2.151,2.474,2.037,1.852,2.024,0.118,0.084,0.126,2.073,2.024,8.728,8.845,9.09,1.888,1.779,2.072,1.966,2.04,2.039
S IPC,12/2/2021,6:25:47, ,142,0.008,0.007,0.001,0.056,0.062,0.005,0.001,0.048,0.001,0.001,0.001,0.002,0.009,0.009,0.008,0.058,0.002,0.004,0.003,0.003,0.003,0.049,-0.001,-0.014,-0.009,24.62,25.24,26.52,0.002,0.001,0.016,0.021,0.022,0.001,0.002,0.002,0.002,0.008,0.008
Moo1,12/2/2021,6:28:22, ,143,0.005,0.008,-0.003,0.062,0.06,0.241,-0.025,25.06,0,0,-0.001,0,3.683,3.642,3.648,1.508,0.016,12.3,0.232,0.235,0.001,16.7,0,0.006,-0.002,3.802,3.717,3.834,-0.001,-0.007,2.991,3.008,3.044,0,0.145,0,0.001,1.841,1.851
Moo2,12/2/2021,6:30:43, ,144,0.003,0.002,-0.002,0.045,0.046,0.009,-0.002,1.918,0,0,-0.001,0,0.303,0.3,0.3,1.429,0.015,4.631,0.012,0.012,-0.002,16.41,-0.001,-0.005,-0.003,3.166,3.2,3.274,-0.001,-0.005,2.797,2.834,2.856,0,0.015,0,0.001,0.053,0.055
Lblank,12/2/2021,6:33:02, ,145,0.003,0.001,0.001,0.036,0.037,0.001,0,0.022,0,0,0,0,0.005,0.005,0.005,0.038,0,0.007,0,0,0,0.049,0,-0.009,-0.001,0.009,0.006,0.007,-0.001,-0.003,0.008,0.012,0.012,0,0,0,0.001,0.003,0.004
CV,12/2/2021,6:35:35, ,146,2.09,1.988,2.057,2.078,2.073,2.084,2.082,2.021,1.793,2.028,1.954,2.031,2.062,2.029,2.005,2.276,2.036,1.936,2.047,2.047,2.135,2.407,2.024,1.849,2.019,0.078,0.043,0.078,2.084,2.031,8.786,8.866,9.052,1.874,1.777,2.095,1.946,1.966,2.003
S IPC,12/2/2021,6:38:07, ,147,0.003,0.004,0.004,0.031,0.033,0.002,0.002,0.006,0.001,0.002,0.001,0.002,0.004,0.004,0.003,0.042,0.003,0.002,0.002,0.003,0.003,0.029,-0.001,-0.009,-0.009,25.2,25.78,26.94,0.002,-0.001,0.016,0.023,0.019,0.001,0.002,0.002,0.002,0.004,0.005
Cal Blank,12/2/2021,6:42:06, ,148,0,0.001,-0.001,0.026,0.026,0.001,0,0.006,0,0,0,0,0.001,0,0.001,0.022,0,0.001,0,0,0,0.017,0,-0.005,0,0.01,0.009,0.004,-0.001,0.001,0.001,0.003,0.003,0,0,0,0,0.001,0.002
std 1,12/2/2021,6:44:40, ,149,-0.004,-0.008,10.15,1.05,1.057,1.027,-0.011,10.19,1.739,0.001,-0.001,2.035,0.003,0.002,0.002,0.902,0.004,0,2.024,2.068,0,0.306,-0.003,0.003,-0.002,0.089,0.029,0.002,5.025,5.145,0.052,0.054,0.049,0,0,0,-0.003,0.06,0.081
std 2,12/2/2021,6:49:21, ,150,-0.075,-0.062,-0.033,0.042,0.038,-0.003,0.032,0.011,0.002,0.013,-0.001,0.014,0.003,0.003,0.028,20.01,4.92,-0.002,-0.009,-0.011,10,9.958,0,0.028,0.005,0.013,-0.017,0.032,0.123,0.005,-0.027,-0.009,-0.066,-0.001,0.976,10.04,-0.006,0.009,0.01
std 3,12/2/2021,6:51:48 AM, ,151,0.003,0.005,0.004,0.019,0.019,0,0,0.004,-0.001,2.01,-0.001,0.002,0.014,0.014,0,0.16,0.006,0,0,0,0.013,0.073,-0.01,9.024,-0.003,0.006,0.009,-0.007,0,0.001,0.008,0.008,0.007,0,0.001,0.009,-0.002,0.002,0.002
std 4,12/2/2021,6:54:23 AM, ,152,10.16,10.11,0.013,0.018,0.019,0,0,0.009,0.001,-0.003,5.058,0.002,0.002,0,0,0.097,0.001,0,0.001,0.001,0.003,0.047,0,-0.001,0,0.006,0.007,-0.006,0.021,-0.023,9.961,10.08,10.19,4.064,0,0.003,0,5.257,5.18
std 5,12/2/2021,6:56:49 AM, ,153,0.011,0.009,0.002,0.039,0.033,0,1.024,-0.004,0,0,0.004,0,10.03,10.15,10.12,0.106,-0.001,10.17,0.001,0.002,0,0.183,1.988,-0.019,10.01,0.04,0.001,0.047,0.003,0.002,0.024,0.027,0.019,0.004,-0.007,-0.003,4.915,0.005,0.006
S std,12/2/2021,6:59:10 AM, ,154,0.003,0.002,0.001,0.016,0.017,0,0.001,0.002,0,0,0,0,0.011,0.014,0.014,0.036,0,0.009,0,0,0,0.019,-0.002,-0.019,-0.006,37.58,38.99,41.02,0,-0.001,0.111,0.106,0.105,0,0,0,0.005,0,0.001
