"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"19","7/15/2021",NA,325.5,0.266,0.0625,0.05381,0.9478,0.02832,112.1,0.003653,0.1483,0.4159,0.4077,182.2,332.7,351.9,21.77,0.4793,120.2,6.106,6.843,0.08708,6.687,0.4001,11.95,0.4897,3.528,3.253,5.808,-0.01168,-0.02034,9.219,10.4,10.66,-0.03961,1.251,12.02,-0.07819,1.724,1.926,"7-Jul-21","SRM","STSD2",NA,"13-Jul-21","7/15/2021","19",NA,NA,NA,NA,0.5048
"20","7/15/2021",26.91,31.81,0.462,0.008569,0.0106,0.002361,0.000013,30.77,0.09025,0.08972,0.1981,4.861,29.62,32.24,32.23,0.05293,0.000368,15.7,4.775,5.03,-0.001054,0.007914,0.1829,4.891,0.907,8.498,9.959,9.622,0.004752,0.0721,0.02977,0.05144,0.053,-0.02813,0.004916,0.01594,-0.02557,4.525,4.785,"7-Jul-21","MFB","METHOD FORTIFIED BLANK",NA,"13-Jul-21","7/15/2021","20",NA,"YES",NA,NA,NA
"21","7/15/2021",27.17,30.66,0.452,0.007831,0.008849,0.001176,-0.000033,30.15,0.0896,0.08861,0.1977,4.793,28.79,31.01,31.03,0.005197,-0.000681,15.34,4.7,4.941,-0.001037,-0.006984,0.1823,4.81,0.9044,8.484,9.892,9.517,0.005397,0.06921,0.008445,0.008361,0.01695,-0.02737,0.002655,0.000691,-0.02492,4.443,4.735,"7-Jul-21","MFB","METHOD FORTIFIED BLANK",NA,"13-Jul-21","7/15/2021","21",NA,"YES",NA,NA,NA
"22","7/15/2021",26.57,30.74,0.457,0.006266,0.007386,0.000877,-0.000054,30.04,0.08995,0.08921,0.1961,4.857,28.79,30.92,30.91,0.01729,-0.000848,15.24,4.731,4.931,-0.000999,-0.009042,0.1809,4.877,0.9009,8.488,9.814,9.623,0.004064,0.07472,0.006632,0.00604,0.007414,-0.02837,0.002356,-0.001295,-0.02341,4.449,4.693,"7-Jul-21","MFB","METHOD FORTIFIED BLANK",NA,"13-Jul-21","7/15/2021","22",NA,"YES",NA,NA,NA
"CV","7/15/2021",2.436,2.598,2.029,1.96,1.937,2.036,2.084,2.554,1.99,2.075,2.076,1.988,2.557,2.69,2.701,2.55,2.087,2.187,2.043,2.064,2.162,2.047,2.116,2.266,2.104,0.1836,0.2338,0.2259,2.01,2.03,9.227,9.285,9.318,2.087,1.767,2.09,2.087,2.138,2.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/15/2021",0.173,0.187,0,0.02224,0.02483,0.004496,0.001799,0.1751,0.001676,0.001816,0.002067,0.006848,0.1907,0.2019,0.202,0.151,0.003086,0.06863,0.01596,0.01786,0.002638,0.05846,0.001865,0.02238,0.003491,20.84,21.21,21.17,0.003574,0.00514,0.3722,0.3591,0.3564,0.001123,0.003347,0.007684,0.002704,0.01313,0.01516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/15/2021",0.04,0.062,0.002,0.006504,0.008347,0.001255,0.000506,0.06396,0.000503,0.000541,0.000515,0.001817,0.06029,0.07756,0.07829,0.07645,0.000616,0.02545,0.004929,0.006367,0.000551,-0.006464,0.000538,0.01376,0.001705,0.03558,0.05935,0.04153,0.000283,0.002366,0.0188,0.01798,0.02134,0.000622,0.000814,0.002036,0.001299,0.003969,0.005491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/15/2021",2.143,2.233,2.036,2.13,2.128,2.105,2.093,2.182,1.991,2.083,2.078,1.969,2.108,2.125,2.148,2.185,1.987,2.007,2.026,2.008,2.168,2.21,2.121,2.276,2.099,0.04263,0.00687,0.08349,2.004,2.029,9.191,9.197,9.233,2.092,1.809,2.074,2.09,2.187,2.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/15/2021",-0.001,0.002,0.004,0.1428,0.09508,0.000805,0.000761,-0.00152,-0.000722,0.000679,-0.000195,0.003735,-0.000136,0.001144,0.000695,0.02032,0.000131,-0.000042,-0.000324,-0.000235,-0.001878,0.01899,0.000303,-0.004958,0.002675,-0.01322,0.0201,-0.00583,-0.00282,0.01055,0.08856,0.03619,0.03198,-0.000938,0.000623,-0.000195,0.00382,0.00042,0.001027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/15/2021",0.021,0.027,0.002,0.08785,0.1051,0.01045,0.000797,0.04245,0.00081,0.000925,0.000976,0.001523,0.01453,0.01818,0.01905,0.02772,0.001224,0.0099,0.002537,0.003091,0.001037,0.03385,0.00104,-0.006405,0.001902,0.01487,-0.000661,0.01338,0.000884,0.001035,0.01317,0.01032,0.009731,0.001111,0.001526,0.001255,0.002554,0.01228,0.01507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/15/2021",0.022,0.03,0.002,0.1398,0.1466,0.02989,0.00006,0.08052,-0.00006,0.000052,0.000035,0.000805,0.01191,0.01308,0.01366,0.05732,0.000077,0.005283,0.003145,0.003177,-0.000055,0.09104,-0.000053,0.007259,0.000832,20.57,20.97,21.05,0.000439,0.002919,0.02598,0.01773,0.0196,-0.000591,0.000683,0.000498,-0.000146,0.02879,0.03161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/15/2021",2.154,2.215,2.013,2.05,2.042,2.054,2.064,2.145,1.963,2.055,2.042,1.953,2.152,2.131,2.138,2.17,2.021,1.99,1.994,1.978,2.142,2.161,2.053,2.296,2.067,0.05724,-0.006264,0.09654,1.986,2.007,9.119,9.068,9.119,2.061,1.825,2.046,2.064,2.13,2.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/15/2021",0.019,0.028,0.001,0.08486,0.09713,0.01396,0.001145,0.04631,0.001138,0.001225,0.001393,0.002472,0.02084,0.02508,0.02526,0.04775,0.002423,0.01033,0.004303,0.005581,0.001924,0.04668,0.001306,0.01098,0.001673,20.69,21.22,21.18,0.00142,0.004488,0.03097,0.03045,0.02867,0.001836,0.002469,0.001778,0.000442,0.0151,0.01775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/15/2021",0.007,0.011,0.002,0.05571,0.06022,0.004841,0.000704,0.01386,0.000599,0.000541,0.00057,0.00118,0.00711,0.00863,0.01018,0.02416,0.000604,0.002914,0.001591,0.00193,0.000761,0.02078,0.000668,0.01752,0.001158,0.01408,0.01212,0.01888,0.000871,0.003061,0.007709,0.002803,0.002666,0.001198,0.000646,0.000751,0.001302,0.005848,0.006767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/15/2021",2.194,2.309,2.006,1.953,1.913,2.014,2.071,2.459,1.963,2.054,2.045,1.955,2.237,2.301,2.326,2.237,2.013,2.047,2.009,2.011,2.144,2.012,2.052,2.371,2.064,0.1161,0.1513,0.1666,1.979,2.007,9.113,9.083,9.13,2.063,1.802,2.046,2.063,2.114,2.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/15/2021",0.035,0.041,0.004,0.02639,0.02921,0.00489,0.00163,0.094,0.00128,0.001351,0.001514,0.003525,0.04044,0.04863,0.04821,0.06821,0.002836,0.01918,0.008949,0.01006,0.002251,0.01611,0.00137,0.02162,0.002679,20.78,21.2,21.32,0.002445,0.003345,0.03104,0.0332,0.02994,0.002379,0.002845,0.002838,0.001416,0.007707,0.009736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/15/2021",0.009,0.012,-0.001,0.01665,0.01849,0.001713,0.000689,0.02731,0.000633,0.00058,0.000602,0.001015,0.01297,0.01574,0.01717,0.0311,0.000726,0.005651,0.002703,0.003016,0.000884,0.003207,0.0007,0.01146,0.001357,0.01938,0.03479,0.02817,0.000643,0.002524,0.007965,0.002851,0.004112,0.00115,0.000717,0.001013,-0.000147,0.002889,0.003279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal blank","7/15/2021",-0.001,0.002,0.004,0.000358,0.007494,0.000603,0.000748,0.003338,-0.000659,0.000413,-0.000153,0.003529,-0.00012,0.001706,0.002516,0.01018,-0.000082,0.000282,-0.00029,0.000181,-0.001575,-0.003867,-0.000026,0.001909,0.00237,-0.01448,0.001018,-0.004364,-0.00177,0.01123,-0.001643,-0.004662,-0.006207,-0.001215,0.000014,-0.000175,0.001815,-0.000081,0.000338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal std 1","7/15/2021",0.007,0.009,10.08,1.072,1.101,1.023,-0.000005,10.08,2.041,0.000209,-0.000084,1.982,0.003421,0.003682,0.01107,0.1005,0.001237,0.003063,2.035,2.001,0.000483,0.005207,0.001254,-0.000836,0.003174,0.2135,0.2192,0.4558,4.999,5.072,0.06842,0.06171,0.05849,-0.016,0.001046,-0.000761,-0.009892,0.006609,0.006239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal std 5","7/15/2021",0.003,0.004,0.009,0.0458,0.05653,0.001658,1.003,0.02398,-0.000493,0.000404,-0.001075,0.002439,10.1,10.08,10.09,0.07761,0.000784,10.02,0.002019,0.002323,-0.000573,0.003161,2.009,0.01603,10.01,0.03662,0.03236,0.1683,0.007677,0.008398,0.01478,0.01059,0.008047,0.000105,-0.00005,0.000276,4.998,0.005869,0.005991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCV","7/19/2021",2.041,2.083,2.04,0.2113,0.221,0.1938,0.2054,2.06,0.4047,0.3956,1.02,0.3994,2.052,2.086,2.08,4.3,1.072,2.078,0.3973,0.4098,2.079,2.142,0.4111,2.088,2.021,0.01937,0.03064,0.08678,1.015,1.028,2.118,2.169,2.211,0.8144,0.2099,2.106,1.016,1.003,1.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/19/2021",2.048,2.094,1.976,1.9,1.915,1.968,2.045,1.955,1.914,2.011,2.069,1.932,2.056,2.034,2.041,2.084,2.021,1.97,1.959,1.986,2.119,2.038,2.072,2.02,2.048,0.02518,-0.005137,0.04769,1.965,1.977,9.055,9.3,9.327,2.054,1.722,2.058,2.061,2.078,2.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/19/2021",0.003,0.005,0.001,0.004866,0.006337,0.001676,0.001446,0.004473,0.001328,0.001545,0.001514,0.001819,0.001698,0.001995,0.002772,0.01688,0.003123,0.002627,0.000669,0.001402,0.002236,0.009161,0.001558,0.01077,0.002046,20.26,20.14,20.46,0.001533,0.000098,0.02988,0.03462,0.03958,0.002179,0.002418,0.001686,0.003436,0.001665,0.002511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/19/2021",0,0,0.001,0.000652,-0.000054,0.000185,0.000113,-0.000062,0.000243,0.000185,0.000232,0.000147,0.000231,-0.000059,0.001133,0.005913,0.000352,0.000127,-0.000569,-0.00074,0.000521,0.005373,0.00018,-0.000085,0.000514,0.02106,0.02697,0.01738,-0.0001,-0.000508,0.005021,0.003125,0.008787,-0.000113,0.000169,0.000228,0.000767,0.000059,0.000572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFB","7/19/2021",30.07,30.15,0.495,0.000409,-0.001079,0.001914,0.000106,29.65,0.09777,0.09266,0.1949,4.794,29.32,30.43,30.41,0.009061,0.000235,15.46,4.73,4.874,-0.001636,0.006759,0.1944,5.118,1.003,10.11,10.07,11.04,0.000626,0.09416,-0.00183,0.000009,0.006577,-0.02856,0.00232,-0.002174,-0.02016,4.948,4.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/19/2021",2.201,2.274,2.011,2.167,2.212,2.062,2.082,2.377,1.943,2.046,2.093,1.993,2.149,2.169,2.182,2.239,2.01,2.063,2.008,2.059,2.15,2.269,2.102,2.116,2.085,0.04559,0.004523,0.07579,1.988,2.013,9.268,9.562,9.552,2.079,1.795,2.102,2.09,2.178,2.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/19/2021",0.02,0.03,0.003,0.1633,0.1777,0.01691,0.001254,0.07437,0.001162,0.00109,0.001218,0.002702,0.01347,0.01748,0.01979,0.04749,0.002553,0.01011,0.003764,0.005474,0.001809,0.08331,0.0013,0.01002,0.001832,20.35,20.28,20.57,0.001437,0.003872,0.02813,0.03433,0.03683,0.002391,0.002366,0.001714,0.001943,0.01848,0.02464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/19/2021",0.006,0.007,0.003,0.1099,0.1213,0.0061,0.000433,0.02284,0.000437,0.000425,0.000466,0.000853,0.004759,0.005206,0.00635,0.03258,0.000535,0.00283,0.000906,0.00091,0.000644,0.04906,0.000595,0.008236,0.000798,0.01756,0.01583,0.01397,0.000637,-0.000418,0.007108,0.006757,0.004856,0.001009,0.00049,0.000569,0.001044,0.007083,0.009214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/19/2021",2.216,2.257,2.003,2.11,2.127,2.06,2.096,2.375,1.949,2.054,2.101,1.98,2.189,2.193,2.204,2.237,1.988,2.047,2.012,2.037,2.155,2.228,2.106,2.149,2.091,0.05019,0.0104,0.0875,1.979,2.006,9.232,9.426,9.486,2.099,1.793,2.101,2.089,2.212,2.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/19/2021",0.03,0.038,0.003,0.1385,0.1477,0.01767,0.001393,0.1187,0.001249,0.001224,0.00133,0.003365,0.02696,0.03419,0.03565,0.06582,0.002533,0.01486,0.005817,0.007497,0.001718,0.1005,0.001425,0.02557,0.001938,20.25,20.21,20.51,0.001351,0.001822,0.02986,0.03496,0.03721,0.001873,0.002568,0.002225,0.002048,0.02029,0.02692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/19/2021",0.008,0.011,0.004,0.1004,0.1103,0.005731,0.000468,0.03144,0.000562,0.000444,0.000503,0.000902,0.008906,0.009871,0.0103,0.03826,0.000607,0.003925,0.00137,0.001309,0.00078,0.06078,0.000584,0.01788,0.000313,0.01872,0.02484,0.02077,0.000952,0.003088,0.007737,0.006653,0.00573,0.000374,0.000518,0.000734,0.000862,0.007521,0.008832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/19/2021",2.017,2.216,1.345,1.962,2.139,1.947,2.091,2.179,1.394,1.463,1.956,1.831,2.01,2.122,2.135,2.24,2.028,2.033,1.875,2.028,1.541,2.253,1.966,1.401,1.477,0.03387,-0.005385,0.05118,1.403,1.346,8.524,9.444,9.479,1.483,1.847,1.952,1.402,1.575,2.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/19/2021",0.02,0.03,0.003,0.132,0.1554,0.01844,0.001283,0.05836,0.001328,0.001338,0.001361,0.002836,0.0153,0.0205,0.02231,0.05281,0.002698,0.0106,0.002893,0.004492,0.001777,0.08993,0.001382,0.005442,0.001939,20.3,20.35,20.57,0.001727,0.0008,0.02944,0.03431,0.03714,0.001891,0.002608,0.001693,0.001615,0.01967,0.02693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/19/2021",-0.001,0,0.003,0.01531,0.02727,0.000842,0.000488,0.000553,-0.000214,0.000465,-0.000014,0.002158,0.000311,0.000166,0.001073,0.0222,0.000093,-0.00032,-0.000743,-0.000967,-0.000768,0.0316,0.000142,-0.001679,0.002342,-0.002396,-0.005853,0.001704,-0.00138,0.005112,0.001716,0.003005,0.005034,-0.000784,-0.000002,-0.000026,0.001288,0.000677,0.001509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal std 1","7/19/2021",0.002,0,10.06,1.107,1.143,1.03,0.000039,10.13,2.046,0.000461,0.000055,2.032,0.002036,0.001794,0.01138,0.1016,0.001485,0.000167,2.027,2.028,0.00081,0.03966,0.001124,0.01593,0.002156,0.1411,0.164,0.3696,5.006,5.052,0.06724,0.06596,0.06816,-0.01655,0.000939,-0.000644,-0.01031,0.007002,0.007064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal std 5","7/19/2021",0.009,0.015,-0.002,0.0492,0.05703,0.00103,1.006,0.00751,-0.001321,0.000546,0.003101,0.000488,10.09,10.05,10.04,0.08379,0.00055,10.05,-0.000253,-0.00175,-0.000097,0.03286,2.025,0.007007,10.04,-0.09134,-0.1462,0.03113,0.001267,0.000691,0.02578,0.03187,0.0324,0.003185,-0.000038,0.000342,5.04,0.009278,0.01172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","11/17/2021",0,0,0,-0.001,-0.001,0,0,0,0,0,0,0,0.001,0.001,0.001,0.009,0,0,0,0,0,0,0,-0.002,0,0.002,0.005,0.003,-0.002,-0.001,0.004,0.004,0.003,0,0,0,0.002,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCV","11/17/2021",1.925,1.893,2.017,0.202,0.196,0.198,0.206,1.937,0.339,0.379,0.986,0.387,2,1.955,1.953,4.038,1.025,1.961,0.392,0.387,2.054,2.056,0.389,2.05,1.958,0.029,0.001,0,1.041,0.999,2.016,2.013,1.983,0.783,0.192,2.078,0.997,0.953,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","11/17/2021",1.968,1.993,2.032,2.004,1.99,2.05,2.089,1.975,1.757,1.972,1.919,1.983,2.015,2.017,1.998,2.185,2.064,1.939,2.022,2.004,2.146,2.356,2.005,2.083,2.003,0.077,0.044,0.035,2.051,2.003,8.783,8.766,8.806,1.839,1.753,2.108,1.979,1.904,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","11/17/2021",0,0.003,0.001,-0.001,-0.001,0,0,0,0,0,0,0,0.001,0.001,0.003,-0.007,0,0.001,0,0,0,-0.001,0,-0.001,0,0.007,0.069,0.013,-0.001,0,0.005,0.004,0.006,0,0,0,-0.001,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCV","11/17/2021",1.931,1.928,2.045,0.204,0.207,0.2,0.207,1.999,0.341,0.39,0.987,0.389,2.036,1.981,1.98,3.921,0.984,1.982,0.398,0.406,2.028,1.998,0.391,2.027,1.963,0.026,0.052,0.009,1.052,1.002,2.004,2.061,2.037,0.796,0.197,2.09,0.99,0.981,0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","11/17/2021",2.031,1.987,2.05,2.02,2.034,2.056,2.085,2.007,1.783,2.047,1.935,2.007,2.066,2.014,1.997,2.105,1.957,1.934,2.022,2.041,2.139,2.278,2.026,2.091,2.025,0.075,0.096,0.042,2.09,2.021,8.829,8.733,8.997,1.885,1.79,2.09,1.989,1.977,1.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","11/17/2021",0.002,0.005,0.002,0.003,0.004,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.005,-0.003,0.003,0.003,0.002,0.003,0.002,0.004,0,-0.015,-0.009,26.57,26.5,26.54,0.002,0.003,0.018,0.019,0.021,0.002,0.002,0.002,0,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFB","11/17/2021",29.33,30.71,0.542,0.052,0.029,-0.003,-0.031,31.4,0.092,0.094,0.182,4.945,28.49,30.61,30.72,0.008,0.001,15.56,4.866,5.189,0.002,0.003,0.185,5.397,1.01,15.95,14.55,15.23,-0.003,0.124,0.003,0.001,-0.008,0,0.001,0,-0.01,4.921,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MFB 1.1","11/17/2021",13.98,15.15,0.241,0.032,0.018,-0.002,-0.015,15.49,0.041,0.046,0.092,2.478,14.76,15.35,15.34,-0.007,0,7.694,2.476,2.593,0.001,0.002,0.09,2.316,0.471,6.364,6.72,6.207,-0.001,0.053,0.005,0.002,0.001,-0.001,0,0,-0.008,2.307,2.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MFB 1.8","11/17/2021",4.029,4.084,0.067,0.008,0.003,0,-0.004,4.24,0.012,0.013,0.026,0.664,4.061,4.197,4.175,-0.013,0,2.091,0.691,0.703,0,-0.001,0.026,0.681,0.138,1.916,1.894,1.868,-0.001,0.014,0.001,0,0.001,-0.001,0,0,-0.004,0.654,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MFB 2.1","11/17/2021",13.79,15.13,0.248,0.032,0.018,-0.002,-0.016,15.62,0.041,0.046,0.093,2.471,15.08,15.43,15.42,-0.003,0,7.678,2.534,2.605,0.001,-0.001,0.092,2.363,0.48,6.465,6.842,6.293,0,0.05,0.004,0.003,0.004,-0.001,0,0,-0.007,2.287,2.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MFB 2.8","11/17/2021",4.168,4.085,0.071,0.009,0.006,0,-0.004,4.242,0.012,0.013,0.026,0.653,4.099,4.167,4.15,-0.01,0,2.087,0.697,0.698,0,0.003,0.026,0.687,0.14,1.942,1.935,1.886,-0.001,0.014,0.001,0.001,-0.001,-0.001,0,0,-0.002,0.679,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","11/17/2021",24.16,28.79,0.434,0.065,0.047,-0.003,-0.029,29.59,0.074,0.082,0.172,4.7,26.53,28.8,28.78,0.019,0,14.31,4.476,4.887,0.001,0.015,0.159,4.122,0.808,11.25,12.98,11.01,0,0.092,0.022,0.025,0.019,-0.002,0.004,0,-0.009,4.092,4.328,NA,"MFB","METHOD FORTIFIED BLANK",NA,"15-Nov-21","11/17/2021","1",NA,NA,NA,NA,NA
"2","11/17/2021",24.2,29.16,0.455,0.056,0.03,-0.003,-0.029,29.3,0.076,0.084,0.174,4.72,26.68,28.89,29,0.006,0.001,14.44,4.588,4.933,0.001,0.002,0.161,4.306,0.839,11.91,13.31,11.54,0.001,0.09,0.021,0.021,0.017,-0.001,0,0,-0.01,4.185,4.313,NA,"MFB","METHOD FORTIFIED BLANK",NA,"15-Nov-21","11/17/2021","2",NA,NA,NA,NA,NA
"Lblank","11/17/2021",0.33,0.426,0.001,0,0,0.006,-0.002,2.43,0,0,0.001,0.017,0.399,0.488,0.486,0.198,0,0.183,0.095,0.118,0,0.011,0.001,0.039,0.003,0.184,0.291,0.191,-0.001,0.001,0.011,0.013,0.014,0,0.005,0.009,-0.002,0.024,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","11/17/2021",2.101,2.085,2.058,2.034,2.075,2.063,2.085,2.346,1.793,2.065,1.953,2.044,2.14,2.105,2.101,2.167,2.016,1.989,2.045,2.083,2.154,2.33,2.044,2.075,2.034,0.103,0.089,0.062,2.104,2.022,8.828,8.818,9.006,1.905,1.827,2.11,1.985,2.007,1.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
